"Sample","otu103","otu2379","otu2423","otu2890","otu3392","otu3990","otu6383","otu7576","otu8173","otu10439","otu11469","otu12942","otu14164","otu14687","otu16950","otu17585","otu18139","otu19110","otu19222","otu20282","otu20391","otu20703","otu22228","otu23285","otu25063","otu25427","otu25710","otu28108","otu31152","otu31325","otu31444","otu31969","otu32195","otu32615","otu33234","otu36476","otu39098","otu39807","otu43591","otu45913","otu48041","otu48408","otu48887","otu50008","otu50138","otu50467","otu52238","otu53645","otu54876","otu55081","otu55238","otu56581","otu59067","otu59191","otu60864","otu66318","otu68191","otu71155","otu73457","otu74222","otu76164","otu76835","otu76999","otu82036","otu84287","otu84549","otu87197","otu88227","otu89221","otu93238","otu93508","otu96417","otu96750","otu97002","otu98406","otu100173","otu100185","otu102612","otu105055","otu105918","otu108443","otu108571","otu112686","otu114021","otu114513","otu115907","otu116772","otu118033","otu118446","otu119012","otu119351","otu119688","otu124110","otu128725","otu131157","otu133662","otu134168","otu135996","otu136348","otu136731","otu141404","otu141623","otu142678","otu144130","otu146262","otu150436","otu150668","otu151653","otu152190","otu152392","otu152633","otu155450","otu155734","otu156628","otu156773","otu165510","otu167689","otu168963","otu169626","otu169862","otu171230","otu176043","otu178937","otu180428","otu183494","otu184889","otu187124","otu191377","otu195186","otu196432","otu196435","otu196730","otu197535","otu198682","otu199327","otu199919","otu199925","otu200917","otu201666","otu202429","otu203792","otu204699","otu209458","otu210135","otu210568","otu211475","otu212247","otu212474","otu213730","otu214531","otu214596","otu215966","otu217172","otu217482","otu217551","otu218012","otu218128","otu220670","otu221165","otu221454","otu224289","otu224843","otu225267","otu225313","otu227914","otu233140","otu233874","otu235052","otu236476","otu239729","otu242522","otu243901","otu244479","otu246873","otu247588","otu248700","otu249461","otu250554","otu250673","otu252230","otu254406","otu254548","otu255165","otu255693","otu257293","otu262772","otu263370","otu264331","otu265060","otu265487","otu267337","otu267443","otu268177","otu270930","otu271789","otu271931","otu271958","otu272939","otu273054","otu274089","otu276586","otu279850","otu280449","otu281259","otu283555","otu284157","otu286356","otu287098","otu287132","otu289481","otu290333","otu291017","otu294200","otu294208","otu295992","otu296447","otu297517","otu299057","otu302387","otu303302","otu305533","otu311714","otu312554","otu312684","otu312836","otu313989","otu315742"
"D102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,83,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,0,0,0,0,7,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,4,10,0,0,0,6,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,62,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"D103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,24,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3619,0,0,133,0,11,0,0,0,0,0,0,0,0,0,0,0,0,167,538,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,17,0,0,31,0,0,111,0,0,0,0,0,0,0,0,0,0,384,0,0,0,72,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,637,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,101,0,418,0
"D104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325,0,0,0,0,42590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159,3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D105",0,0,0,0,0,0,0,0,0,22,0,8,0,0,0,0,0,94,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,64,0,0,0,0,0,29,0,0,47,0,0,212,0,0,0,0,0,0,133,55,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,190,0,0,260,0,518,0,0,0,0,0,746,0,0,0,352,0,0,0,0,0,6,0,0,33,0,0,0,233,0,0,0,28,0,0,132,0,0,0,0,0,0,0,0,0,0,10,0,0,0,425,283,0,0,0,0,0,146,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,157,897,0,0,366,0,0,0,0,0,0,0
"D106",15,0,0,0,0,0,0,156,0,0,0,2,0,0,0,25,0,0,0,0,0,10,0,168,43,12,0,0,4,0,0,0,27,428,14,167,0,30,0,0,0,115,0,0,38,0,0,233,4,0,12,0,0,130,0,0,32,7,186,0,0,106,0,0,0,0,36,0,0,0,23,0,2,0,0,0,13,0,0,0,6,0,0,0,0,0,0,32,16,0,0,0,0,150,0,0,0,0,0,947,0,20,4,3,0,212,0,0,37,2,0,10,0,7,0,0,0,0,204,31,0,15,0,18,144,22,59,16,2,2,6,0,0,20,0,0,0,0,31,58,0,0,0,0,0,2,5,1,0,0,3,0,0,0,0,0,4,0,0,171,0,2,32,90,0,6,1,0,71,33,0,0,0,0,45,41,0,8,4,75,35,0,2,0,0,1,0,0,3,0,47,0,0,80,181,0,0,0,0,351,0,664,7,1,0,0,0,0,500,31,0,0,10,0,2,0,0,3,0,0,45,4,18,0,6,0,16
"D107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D108",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"D109",0,0,0,0,24,0,14,3,13,0,0,0,0,0,10,0,0,3,11,0,0,8,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,2,0,8,1,18,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,5,0,0,3,0,2,67,291,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1176,55,0,5,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,4,0,0,31,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,116,0,0,0,0,0,311,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,5,465,0,0,0,0,0,0,0
"D110",335,39,34,3,0,0,10,17,134,0,0,0,125,33,2,36,0,15,16,0,31,0,0,32,0,10,39,27,24,9,20,0,170,106,0,351,11,1,0,1,10,65,0,68,0,14,0,6,13,7,60,0,0,30,0,0,23,0,5,2,0,188,0,0,4,57,148,32,21,14,0,0,20,7,0,55,0,191,0,0,25,0,37,9,21,7,27,48,7,25,0,0,56,251,77,0,10,0,0,297,0,15,9,252,16,115,0,4,0,21,1,18,31,76,0,1,0,0,346,311,0,112,0,25,0,5,14,147,20,6,43,0,3,15,158,0,47,19,5,415,0,24,11,2283,19,43,0,0,0,0,14,198,0,0,54,0,166,126,0,93,4,2,163,142,0,48,7,0,25,55,3,0,50,0,0,87,6,0,3,0,7,8,0,50,0,354,43,0,0,0,8,200,0,65,118,30,2,29,156,0,0,67,9,0,0,0,6,0,0,25,0,0,15,0,1,0,0,22,5,0,5,42,31,0,3,46,40
"D111",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,853,0,0,15209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,609,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0
